日期,类型,分类,金额,币种,账户,商户,备注
2025-08-01,支出,外食,4400,JPY,AmexGold,,
2025-08-01,支出,交通费,636,JPY,suica,,
2025-08-01,支出,娱乐,10000,JPY,AmexGold,,
2025-08-02,支出,外食,670,JPY,三井住友银行,,
2025-08-02,支出,娱乐,7941,JPY,三井master,,
2025-08-03,支出,外食,1880,JPY,乐天Pay,,
2025-08-03,支出,交通费,1234,JPY,suica,,
2025-08-04,支出,光热费,5560,JPY,AmexGold,,
2025-08-04,支出,外食,520,JPY,AmexGold,,
2025-08-04,支出,买菜,1593,JPY,乐天Pay,,
2025-08-05,支出,医疗,7853,JPY,,,
2025-08-05,支出,交通费,466,JPY,,,
2025-08-05,支出,外食,1800,JPY,Paypay,,
2025-08-05,支出,外食,2379,JPY,AmexGold,,
2025-08-06,支出,谷子,2370,JPY,煤炉卡,,
2025-08-06,支出,交通费,475,JPY,suica,,
2025-08-06,支出,外食,710,JPY,三井NL,,
2025-08-06,支出,外食,2131,JPY,Paypay,,
2025-08-06,支出,娱乐,3600,JPY,乐天Pay,,
2025-08-06,支出,买菜,289,JPY,乐天Pay,,
2025-08-07,支出,外食,650,JPY,乐天Pay,,
2025-08-07,支出,交通费,460,JPY,suica,,
2025-08-07,支出,外食,4764,JPY,Paypay,,
2025-08-08,支出,外食,1677,JPY,,,
2025-08-08,支出,买菜,397,JPY,乐天Pay,,
2025-08-09,支出,外食,710,JPY,三井NL,,
2025-08-09,支出,外食,950,JPY,Paypay,,
2025-08-09,支出,外食,3430,JPY,乐天Pay,,
2025-08-10,支出,外食,1330,JPY,Paypay,,
2025-08-10,支出,外食,520,JPY,AmexGold,,
2025-08-11,支出,外食,690,JPY,乐天Pay,,
2025-08-11,支出,日用品,1001,JPY,乐天Pay,,
2025-08-11,支出,谷子,880,JPY,乐天Pay,,
2025-08-11,支出,外食,1283,JPY,AmexGold,,
2025-08-11,支出,日用品,2990,JPY,AmexGold,,
2025-08-12,支出,外食,1930,JPY,三井NL,,
2025-08-13,支出,外食,720,JPY,AmexGold,,
2025-08-13,支出,交通费,460,JPY,suica,,
2025-08-14,支出,健身房,7876,JPY,AmexGold,,
2025-08-14,支出,外食,2450,JPY,Paypay,,
2025-08-14,支出,外食,950,JPY,Paypay,,
2025-08-14,支出,买菜,160,JPY,,,
2025-08-14,支出,交通费,356,JPY,suica,,
2025-08-15,支出,外食,900,JPY,AmexGold,,
2025-08-15,支出,交通费,1142,JPY,suica,,
2025-08-16,支出,外食,1081,JPY,,,
2025-08-16,支出,买菜,19522,JPY,,,
2025-08-16,支出,交通费,230,JPY,,,
2025-08-17,支出,外食,1757,JPY,三井NL,,
2025-08-17,支出,外食,1300,JPY,现金,,
2025-08-18,支出,外食,6050,JPY,AmexGold,,
2025-08-18,支出,日用品,190,JPY,现金,,
2025-08-18,支出,交通费,694,JPY,suica,,
2025-08-19,支出,外食,1350,JPY,现金,,
2025-08-20,支出,外食,680,JPY,三井NL,,
2025-08-20,支出,交通费,1142,JPY,suica,,
2025-08-20,支出,外食,810,JPY,Paypay,,
2025-08-21,支出,外食,585,JPY,AmexGold,,
2025-08-21,支出,娱乐,2360,JPY,,,
2025-08-21,支出,外食,1380,JPY,Paypay,,
2025-08-22,支出,交通费,460,JPY,suica,,
2025-08-22,支出,买菜,848,JPY,,,
2025-08-22,支出,书籍,1430,JPY,AmexGold,,
2025-08-23,支出,日用品,5630,JPY,,,
2025-08-23,支出,外食,1100,JPY,现金,,
2025-08-23,支出,便利店,449,JPY,suica,,
2025-08-24,支出,外食,3373,JPY,AmexGold,,
2025-08-24,支出,交通费,1904,JPY,suica,,
2025-08-25,支出,外食,2107,JPY,乐天Pay,,
2025-08-25,支出,外食,616,JPY,AmexGold,,
2025-08-25,收入,,,,JPY,,,
2025-08-26,支出,外食,1400,JPY,Paypay,,
2025-08-26,支出,日用品,1700,JPY,乐天Pay,,
2025-08-26,支出,交通费,356,JPY,suica,,
2025-08-27,支出,房租,117160,JPY,epos,,
2025-08-27,支出,外食,1340,JPY,suica,,
2025-08-27,支出,外食,950,JPY,Paypay,,
2025-08-28,支出,外食,1650,JPY,Paypay,,
2025-08-28,支出,外食,495,JPY,AmexGold,,
2025-08-28,支出,外食,380,JPY,三井NL,,
2025-08-29,支出,医疗,1950,JPY,AmexGold,,
2025-08-29,支出,医疗,912,JPY,AmexGold,,
2025-08-29,支出,外食,6940,JPY,AmexGold,,
2025-08-29,支出,交通费,460,JPY,suica,,
2025-08-29,支出,便利店,280,JPY,,,
2025-08-30,支出,旅游,24267,JPY,,,
2025-08-31,支出,外食,1470,JPY,AmexGold,,
2025-08-31,支出,日用品,2679,JPY,三菱,,
2025-08-31,支出,交通费,817,JPY,suica,,
2025-08-31,支出,便利店,539,JPY,suica,,
