账户ID,账户名称,当前余额,币种,更新日期,备注
CASH_JPY,现金,35200,JPY,2025-11-30,
WECHAT,微信钱包,3208.39,RMB,2025-11-30,
ALIPAY,支付宝,19509.01,RMB,2025-11-30,
HUABEI,花呗,-9557.42,RMB,2025-11-30,待还款
MITSUI_BANK,三井住友银行,116649,JPY,2025-11-30,
MUFG_BANK,三菱UFJ银行,0,JPY,2025-11-30,
RAKUTEN_BANK,乐天银行,0,JPY,2025-11-30,
SUICA,Suica,12945,JPY,2025-11-30,
PAYPAY,PayPay,923,JPY,2025-11-30,
RAKUTEN_PAY,乐天Pay,75237,JPY,2025-11-30,楽天キャッシュ
JAL_PAY,JAL Pay,80000,JPY,2025-12-01,
WAON,WAON,4523,JPY,2025-11-30,
ANA_PAY,ANA Pay,21299,JPY,2025-12-01,
AU_PAY,AU Pay,0,JPY,2025-11-30,
NANACO,nanaco,0,JPY,2025-11-30,
APPLE,Apple Account,25400,JPY,2025-11-30,
PASELI,Paseli,4514,JPY,2025-11-30,
PASELI_POINT,Paseliポイント,4268,JPY,2025-11-30,
AMAZON_POINT,Amazon积分,12453,JPY,2025-11-30,
RAKUTEN_POINT,楽天ポイント,160,JPY,2025-11-30,
PAYPAY_POINT,PayPayポイント,14478,JPY,2025-11-30,運用中
JAL_MILES,JALマイル,7538,MILE,2025-11-30,
ANA_MILES,ANAマイル,39242,MILE,2025-11-30,
WAON_POINT,WAONポイント,0,JPY,2025-11-30,
PONTA_POINT,Pontaポイント,19,JPY,2025-11-30,
V_POINT,Vポイント,258,JPY,2025-11-30,
V_POINT_ANA,Vポイント(ANA移行可),1155,JPY,2025-11-30,
D_POINT,dポイント,238,JPY,2025-11-30,
JRE_POINT,JREポイント,4203,JPY,2025-11-30,
NANACO_POINT,nanacoポイント,8750,JPY,2025-11-30,
SBI_STOCK,SBI証券-国内株式,308871,JPY,2025-11-30,現物
SBI_FUND,SBI証券-投資信託,214089,JPY,2025-11-30,
SBI_CASH,SBI証券-預り金,7502,JPY,2025-11-30,
RAKUTEN_STOCK,乐天証券-国内株式,37900,JPY,2025-11-30,
RAKUTEN_FUND,乐天証券-投資信託,169850,JPY,2025-11-30,
RAKUTEN_CASH,乐天証券-預り金,212,JPY,2025-11-30,
RAKUTEN_FX,乐天証券-FX証拠金,185930,JPY,2025-11-30,純資産
RAKUTEN_CFD,乐天証券-CFD,1046991,JPY,2025-11-30,純資産
