交易ID,日期,类型,从账户,到账户,金额,关联库存ID,关联事件ID,项目ID,备注
TXN202512001,2025-12-01,转换,RAKUTEN_MASTER,JAL_PAY,50000,,POI202511I,,乐天Master充值 JAL Pay (あとからリボ予定)
TXN202512002,2025-12-01,转换,JAL_PAY,ANA_PAY,20001,,,,JAL Pay 充值 ANA Pay
TXN202512003,2025-12-01,仕入,ANA_GOLD,,48373,INV009,,T202511A,AliExpress Nintendo Switch 2
TXN202512004,2025-12-02,販売,,RECEIVABLE,129300,INV001,,T202511A,iPhone17 256GB (Amazon) 売却/未入账
TXN202512005,2025-12-02,販売,,RECEIVABLE,129300,INV002,,T202511A,iPhone17 256GB (Apple) #1 売却/未入账
TXN202512006,2025-12-02,販売,,RECEIVABLE,129300,INV003,,T202511A,iPhone17 256GB (Apple) #2 売却/未入账
TXN202512007,2025-12-03,转换,MITSUI_NL,AMAZON_BALANCE,33000,,,,Amazon残高チャージ(+36000/実払33000)
TXN202512008,2025-12-03,消费,ANA_MILES,,9000,,,,TRIP202512A/特典航空券 東京-大阪
TXN202512009,2025-12-03,仕入,AMAZON_BALANCE,,36000,INV010,,T202511A,Switch OLED Amazon残高分
TXN202512010,2025-12-03,仕入,AMAZON_MC,,1980,INV010,,T202511A,Switch OLED カード分
TXN202512011,2025-12-03,仕入,AMAZON_POINT,,16440,INV011,,T202511A,Switch ポイント分
TXN202512012,2025-12-03,仕入,AMAZON_MC,,16530,INV011,,T202511A,Switch カード分
TXN202512013,2025-12-03,仕入,AMAZON_MC,,1115,INV012,,T202511A,Instax Rainbow
TXN202512014,2025-12-03,仕入,AMAZON_MC,,901,INV013,,T202511A,Instax Kitty
TXN202512015,2025-12-03,转换,PAYPAY,APPLE,5000,,POI202512C,,LINE Apple Gift Card 友だちに贈る
TXN202512016,2025-12-03,转账,MITSUI_BANK,MONEX_CASH,22000,,,,マネックス証券入金
TXN202512017,2025-12-03,转账,IBKR_CASH,MITSUI_BANK,182716,,,,IBKR証券出金
TXN202512018,2025-12-01,收入,COINPLUS,MITSUI_BANK,20000,,,,Coinplus振込
TXN202512019,2025-12-02,收入,RAKUTEN_CARD,MITSUI_BANK,40000,,,,楽天カード cashing
TXN202512020,2025-12-02,转账,MITSUI_BANK,RAKUTEN_CASH,150000,,,,乐天証券入金
TXN202512021,2025-12-02,转账,CASH_JPY,MITSUI_BANK,31500,,,,现金存入ATM
TXN202512022,2025-12-03,转账,MITSUI_BANK,PAYPAY,5000,,,,PayPay充值
TXN202512023,2025-12-03,转账,MITSUI_BANK,GAITAME,100000,,,,Golden Way Japan入金(三井住友)
TXN202512024,2025-12-03,转账,RAKUTEN_CASH,RAKUTEN_BANK,550000,,,,乐天証券出金
TXN202512025,2025-12-03,转账,RAKUTEN_BANK,GAITAME,500000,,,,Golden Way Japan入金
TXN202512026,2025-12-03,转账,RAKUTEN_CASH,RAKUTEN_BANK,170000,,,,乐天証券出金
TXN202512027,2025-12-03,转账,RAKUTEN_BANK,GAITAME,170000,,,,Golden Way Japan入金
TXN202512028,2025-12-03,转账,RAKUTEN_BANK,,40019,,,,楽天カード cashing返済
TXN202512029,2025-12-03,转账,RAKUTEN_CASH,RAKUTEN_BANK,180000,,,,乐天証券出金
TXN202512030,2025-12-03,转账,RAKUTEN_BANK,GAITAME,189981,,,,Golden Way Japan入金
TXN202512031,2025-12-04,仕入,PAYPAY_CARD,,64616,INV014,,T202511A,PlayStation 5 Slim
TXN202512032,2025-12-04,仕入,RAKUTEN_MASTER,,37979,INV015,,T202511A,Switch OLED ホワイト
