日期,资产类型,账户名称,币种,余额,备注
2025-11-01,现金,现金,JPY,0,待填写
2025-11-01,银行,三井银行,JPY,0,待填写
2025-11-01,电子钱包,PayPay,JPY,0,待填写
2025-11-01,电子钱包,Suica,JPY,0,待填写
2025-11-01,电子钱包,WAON,JPY,0,待填写
2025-11-01,电子钱包,JAL Pay,JPY,0,待填写
2025-11-01,电子钱包,ANA Pay,JPY,0,待填写
2025-11-01,电子钱包,乐天Pay,JPY,0,待填写
2025-11-01,电子钱包,AU Pay,JPY,0,待填写
2025-11-01,电子钱包,Paseli,JPY,0,待填写
2025-11-01,电子钱包,支付宝,RMB,0,待填写
2025-11-01,积分,楽天ポイント,JPY,0,待填写
2025-11-01,积分,ANAマイル,Mile,0,待填写
2025-11-01,积分,JALマイル,Mile,0,待填写
2025-11-01,证券,SBI证券,JPY,0,待填写
2025-11-01,证券,楽天证券,JPY,0,待填写
2025-11-01,证券,IBKR,USD,0,待填写
2025-11-01,证券,moomoo证券,USD,0,待填写
2025-11-01,信用卡额度,楽天Master Card,JPY,0,可用额度
2025-11-01,信用卡额度,三井NL,JPY,0,可用额度
2025-11-01,信用卡额度,Amex Gold,JPY,0,可用额度
2025-11-01,信用卡额度,ANA Gold,JPY,0,可用额度
