分类ID,分类名称,类型,关键词,备注
FOOD,外食,支出,吃饭/外卖/餐厅/拉面/咖啡/咖啡店/食其家/烤肉,
CVS,便利店,支出,便利店/711/罗森/全家/familymart/ministop,
GROCERY,买菜,支出,超市/买菜,
TRANSPORT,交通费,支出,电车/地铁/suica/车费,
CLOTHING,服饰,支出,衣服/裤子/外套,
SHOES,鞋子,支出,鞋/鞋子,
COSMETICS,化妆品,支出,化妆品/护肤品/药妆,
DAILY,日用品,支出,日用品/生活用品/理发,
ENTERTAINMENT,娱乐,支出,电影/live/唱歌/KTV,
GYM,健身房,支出,健身房/gym,
MAHJONG,麻将,收支,麻将/打牌,
MEDICAL,医疗,支出,看病/药/医院,
RENT,房租,支出,房租,
UTILITY,光热费,支出,电费/水费/燃气,
PHONE,话费网费,支出,话费/网费/手机费,
SUBSCRIPTION,订阅,支出,Claude/ChatGPT/订阅,
TRAVEL,旅游,支出,旅游/酒店/住宿/租车,
GUZI,谷子,支出,谷子/周边/手办/amnibus,
BOOKS,书籍,支出,书/漫画,
DIGITAL,数码,支出,电子产品/AppleCare,
FAMILY,家族消费,支出,家族卡/家人,
INVESTMENT,投资,转账,定投/证券,
TRANSFER,转账,转账,充值/转账,
SALARY,工资,收入,工资/薪水,
BUSINESS,事业收入,收入,事业收入,
