P202509A - maimai分类商品清单

商品名称,数量,单价JPY,小计JPY
一期方吧唧,17 BOX,4400,74800
二期方吧唧,15 BOX,7150,107250
三期方吧唧,12 BOX,7150,85800
四期方吧唧,12 BOX,7865,94380
二期亚克力,3 BOX,9295,27885
四期亚克力,5 BOX,9295,46475
新水彩吧唧,6 BOX,5280,31680
dx水彩成对吧唧,7 BOX,5676,39732
角色圆吧唧,3 BOX,6435,19305
拍立得,4 BOX,3575,14300
生写,2 BOX,3575,7150
新角色立牌,2 BOX,11440,22880
旧角色立牌,2 BOX,10560,21120

BOX商品小计,90 BOX,,592757

单独购买商品,7件,,14520

maimai总计,,,607277

应收款项
商品总额,607277,JPY
客户结算汇率,0.051,RMB/JPY
应收总额,30971.13,RMB
已收款,31031.40,RMB
待收款,0,RMB (已收齐✓)

收款明细
2025-11-06,10000.00,RMB
2025-11-12,17000.00,RMB
2025-11-12,4031.40,RMB (尾款)
