日期,类型,分类,金额,币种,账户,商户,备注
2025-06-01,支出,买菜,819,JPY,乐天Pay,,
2025-06-01,支出,外食,780,JPY,三井NL,,
2025-06-01,支出,外食,950,JPY,现金,,
2025-06-01,支出,日用品,2980,JPY,三井master,,
2025-06-02,支出,买菜,1131,JPY,三井NL,,
2025-06-02,支出,交通费,636,JPY,Suica,,
2025-06-02,支出,外食,1100,JPY,现金,,
2025-06-02,支出,外食,2372,JPY,Amex Gold,,
2025-06-02,支出,娱乐,500,JPY,三井NL,,
2025-06-02,支出,日用品,295,JPY,乐天Pay,,
2025-06-03,支出,交通费,292,JPY,Suica,,
2025-06-03,支出,外食,1100,JPY,三井Olive,,
2025-06-03,支出,外食,2010,JPY,支付宝,,
2025-06-04,支出,交通费,292,JPY,Suica,,
2025-06-04,支出,医疗,1299,JPY,乐天Pay,,
2025-06-04,支出,外食,760,JPY,三井Olive,,
2025-06-04,支出,外食,800,JPY,支付宝,,
2025-06-05,支出,外食,1150,JPY,乐天Pay,,
2025-06-05,支出,外食,550,JPY,三井NL,,
2025-06-05,支出,日用品,4226,JPY,乐天Pay,,
2025-06-06,支出,外食,1730,JPY,支付宝,,
2025-06-06,支出,外食,560,JPY,三井NL,,
2025-06-07,支出,医疗,1529,JPY,乐天Pay,,
2025-06-07,支出,外食,540,JPY,乐天Pay,,
2025-06-07,支出,日用品,1979,JPY,其他,,
2025-06-08,支出,买菜,298,JPY,乐天Pay,,
2025-06-08,支出,交通费,356,JPY,Suica,,
2025-06-08,支出,外食,1420,JPY,支付宝,,
2025-06-08,支出,外食,585,JPY,Amex Gold,,
2025-06-08,支出,外食,780,JPY,三井Olive,,
2025-06-08,支出,日用品,938,JPY,乐天Pay,,
2025-06-08,收入,游戏,3520,JPY,,,
2025-06-09,支出,医疗,2080,JPY,乐天Pay,,
2025-06-09,支出,医疗,3364,JPY,乐天Pay,,
2025-06-09,支出,外食,550,JPY,三井NL,,
2025-06-09,支出,外食,890,JPY,乐天Pay,,
2025-06-10,支出,买菜,236,JPY,乐天Pay,,
2025-06-10,支出,买菜,5200,JPY,三井master,,
2025-06-10,支出,外食,1480,JPY,现金,,
2025-06-10,支出,外食,364,JPY,乐天Pay,,
