事件ID,步骤,描述,要求,状态,完成日期,金额,关联交易ID,备注
POI202511B,1,充值Apple Account,100000,完成,2025-11-26,100000,TXN202511006,Ministop店内充值
POI202511B,2,返点到账,,待返点,,10000,,12月下旬届く予定

POI202511C,1,充值Apple Account,100000,完成,2025-11-26,100000,TXN202511007,7-11店内充值
POI202511C,2,返点到账,,待返点,,10000,,12月下旬届く予定

POI202511D,1,充值Apple Account,40000,完成,2025-11-26,40000,TXN202511008,FamilyMart店内充值
POI202511D,2,返点到账,,待返点,,4000,,12月下旬届く予定

POI202511E,1,黑五期间Amazon消费,,完成,2025-11-29,467770,"TXN202511004,TXN202511005,TXN202511009,TXN202511010,TXN202511011,TXN202511015",
POI202511E,2,返点到账,,待返点,,10000,,12月届く予定

POI202511F,1,Amazon Mastercard消费,,完成,2025-11-29,467770,"TXN202511004,TXN202511005,TXN202511009,TXN202511010,TXN202511011,TXN202511015",2%常规积分
POI202511F,2,积分到账,,完成,2025-11-29,9355,,即时付与

POI202511G,1,楽天ブックス購入,,完成,2025-11-23,149960,"TXN202511001,TXN202511002",PS5Pro+PSVR2 実付149960
POI202511G,2,楽天ポイント到账,,待返点,,5249,,12月届く予定

POI202511H,1,Amazon购入Apple Gift Card #1,,完成,2025-11-29,50000,TXN202511015,2500pt
POI202511H,2,Amazon购入Apple Gift Card #2,,完成,2025-11-30,50000,TXN202511016,Amex支付 2500pt
POI202511H,3,积分到账,,待返点,,5000,,12月届く予定

POI202511I,1,エントリー,12/11まで,完成,2025-12-01,,,楽天e-NAVIで登録済
POI202511I,2,JAL Pay充値 #1,50000,完成,2025-11-30,50000,TXN202511021,乐天Master
POI202511I,3,JAL Pay充値 #2,50000,完成,2025-12-01,50000,TXN202512001,乐天Master
POI202511I,4,あとからリボ変更,100000,待完成,,,,売上到着後に変更
POI202511I,5,リボお支払いコース設定,10000以下,待完成,,,,1万円以下に設定
POI202511I,6,1月27日お支払い,,待完成,,,,遅れなくお支払い
POI202511I,7,2月27日お支払い,,待完成,,,,遅れなくお支払い
POI202511I,8,ポイント進呈,,待返点,,4000,,2026年3月頃届く予定
